latitude,longitude
59.001926200,5.618813000
59.002046700,5.619019500
59.002183700,5.619227700
59.002348000,5.619434300
59.002619800,5.619724200
59.002809700,5.619898000
59.003003200,5.620066700
59.003203000,5.620231500
59.003409800,5.620377500
59.003728800,5.620559500
59.003948800,5.620638500
59.004175500,5.620643200
59.004407500,5.620551200
59.004762500,5.620283700
59.004996000,5.620074300
59.005225500,5.619859200
59.005225500,5.619859200
59.005666700,5.619368200
59.005876700,5.619095800
59.006148200,5.618696700
59.006279800,5.618491000
59.006359800,5.618365000
59.006383000,5.618322700
59.006383300,5.618321300
59.006383800,5.618320800
59.006385000,5.618320200
59.006386500,5.618319000
59.006388700,5.618316200
59.006402000,5.618282800
59.006475500,5.618133200
59.006562000,5.617968000
59.006609700,5.617875500
59.006746800,5.617655200
59.006883000,5.617664200
59.006973300,5.617794200
59.007049200,5.618034700
59.007106800,5.618349000
59.007155800,5.618714200
59.007245200,5.619291300
59.007282000,5.619479300
59.007403000,5.620027300
59.007487500,5.620378500
59.007574000,5.620728500
59.007714500,5.621262000
59.007822500,5.621618000
59.007938000,5.621984500
59.008060700,5.622366700
59.008256800,5.622962500
59.008256800,5.622962500
59.008524300,5.623745200
59.008652500,5.624110700
59.008839800,5.624664000
59.008962700,5.625070200
59.009069300,5.625517300
59.009152000,5.625997500
59.009246800,5.626727800
59.009278000,5.626973500
59.009371300,5.627707300
59.009429500,5.628189000
59.009490200,5.628664300
59.009587200,5.629368300
59.009683200,5.629814700
59.009816300,5.630234000
59.009964800,5.630652200
59.010039700,5.630862700
59.010333200,5.631706200
59.010485300,5.632133800
59.010638000,5.632564300
59.010787300,5.632987500
59.011076500,5.633773200
59.011144000,5.633947700
59.011260300,5.634276800
59.011342700,5.634573700
59.011406800,5.634776200
59.011439700,5.634862200
59.011440000,5.634865800
59.011440500,5.634868700
59.011440800,5.634870700
59.011440800,5.634871500
59.011477200,5.634934800
59.011510000,5.634984500
59.011591500,5.635163500
59.011742800,5.635611800
59.011802800,5.635778800
59.011976700,5.636275700
59.012090800,5.636622300
59.012081500,5.636842000
59.012021300,5.637093300
59.011983300,5.637239500
59.011852200,5.637777200
59.011707800,5.638337500
59.011620200,5.638662200
59.011620200,5.638662200
59.011461300,5.639221200
59.011356500,5.639605300
59.011289200,5.639864800
59.011214800,5.640141000
59.011143700,5.640401700
59.011080300,5.640640700
59.011029300,5.640867000
59.010961800,5.641204800
59.010917500,5.641437200
59.010872700,5.641685300
59.010832200,5.641952000
59.010811200,5.642089500
59.010734300,5.642504300
59.010656700,5.642908300
59.010639300,5.643179300
59.010642800,5.643431800
59.010657000,5.643644300
59.010668300,5.643792300
59.010638300,5.643893700
59.010582300,5.643925200
59.010510200,5.643999800
59.010441700,5.644083000
59.010366000,5.644176200
59.010274300,5.644323700
59.010265700,5.644479200
59.010271800,5.644688000
59.010274800,5.644925000
59.010278300,5.645147800
59.010285000,5.645436500
59.010287200,5.645607000
59.010289800,5.645777300
59.010291300,5.645963500
59.010290700,5.646152200
59.010287500,5.646328300
59.010291800,5.646565500
59.010292300,5.646759800
59.010292200,5.647005200
59.010297700,5.647269500
59.010280500,5.647568700
59.010250700,5.647867000
59.010186700,5.648290000
59.010141300,5.648580500
59.010087000,5.648863500
59.009998300,5.649309200
59.009970700,5.649456000
59.009883200,5.649891800
59.009828700,5.650176200
59.009745000,5.650601000
59.009689700,5.650859000
59.009635800,5.651099800
59.009576700,5.651345300
59.009490800,5.651612500
59.009312200,5.651939800
59.009178000,5.652068800
59.009045500,5.652123500
59.008934000,5.652142700
59.008792500,5.652164300
59.008694800,5.652173700
59.008642700,5.652178300
59.008478500,5.652186700
59.008425000,5.652191800
59.008328200,5.652203500
59.008186000,5.652250200
59.008139500,5.652406200
59.008129500,5.652521500
59.008108300,5.652968700
59.008065700,5.653306300
59.007940000,5.653779300
59.007883700,5.653921200
59.007714800,5.654204200
59.007636300,5.654290800
59.007601700,5.654323700
59.007597000,5.654327800
59.007552000,5.654376200
59.007463200,5.654440700
59.007326000,5.654506500
59.007164000,5.654589200
59.006900800,5.654725200
59.006725300,5.654812800
59.006559000,5.654902200
59.006408300,5.654975500
59.006293200,5.655026000
59.006198500,5.655066200
59.006052300,5.655136000
59.005915200,5.655182200
59.005757300,5.655222500
59.005603500,5.655255800
59.005452700,5.655288500
59.005225800,5.655338200
59.005086000,5.655368300
59.004968700,5.655391800
59.004871200,5.655407700
59.004774200,5.655421300
59.004652700,5.655437200
59.004517300,5.655449500
59.004308800,5.655457200
59.004171200,5.655457800
59.003972700,5.655465500
59.003844200,5.655475000
59.003720700,5.655487700
59.003613500,5.655502500
59.003570800,5.655509300
59.003462200,5.655527800
59.003379700,5.655541000
59.003240500,5.655562500
59.003142000,5.655579300
59.002991200,5.655604800
59.002940300,5.655624000
59.002779000,5.655661700
59.002682300,5.655678200
59.002651800,5.655685700
59.002638300,5.655687300
59.002639500,5.655684200
59.002641200,5.655680200
59.002641500,5.655679200
59.002636700,5.655679500
59.002622300,5.655682200
59.002558500,5.655697500
59.002308800,5.655736300
59.002235500,5.655749200
59.002090300,5.655778800
59.002090300,5.655778800
59.002098401,5.655769317
59.002098401,5.655769317
59.001662025,5.655822631
59.001658000,5.655276200
59.001657200,5.655135700
59.001651200,5.654816000
59.001623800,5.654283500
59.001595300,5.653933300
59.001560200,5.653612800
59.001515200,5.653151500
59.001504700,5.652873500
59.001514700,5.652647800
59.001533700,5.652471700
59.001532300,5.652334000
59.001483800,5.652269500
59.001419500,5.652296300
59.001333300,5.652369700
59.001059800,5.652504200
59.000838800,5.652578000
59.000775200,5.652599700
59.000720700,5.652617200
59.000521300,5.652690000
