latitude,longitude
58.920024500,5.867858800
58.920015800,5.868228700
58.919972200,5.868620800
58.919845500,5.869147500
58.919730500,5.869440200
58.919600000,5.869678500
58.919394500,5.869887000
58.919237800,5.869968300
58.919203300,5.869989800
58.919168500,5.870017200
58.919167700,5.870017800
58.919167300,5.870017800
58.919166700,5.870018200
58.919166700,5.870017700
58.919165200,5.870018800
58.919147000,5.870038000
58.919126500,5.870062300
58.919059700,5.870137500
58.918986000,5.870209500
58.918948000,5.870241000
58.918841200,5.870324000
58.918777700,5.870375000
58.918657500,5.870493300
58.918539700,5.870645200
58.918475500,5.870740800
58.918349700,5.870990300
58.918291700,5.871119700
58.918195200,5.871401300
58.918156300,5.871540700
58.918097700,5.871795000
58.918043800,5.871993500
58.918010700,5.872056700
58.917938500,5.872104000
58.917938500,5.872104000
58.917909300,5.872116500
58.917868300,5.872171800
58.917864500,5.872307800
58.917914500,5.872378000
58.917945700,5.872381800
58.918000500,5.872316700
58.918026300,5.872193300
58.918034800,5.872123000
58.918056700,5.871974300
58.918073200,5.871885500
58.918114800,5.871678800
58.918144500,5.871552300
58.918226500,5.871266800
58.918337000,5.870978000
58.918409800,5.870831800
58.918591500,5.870552300
58.918695000,5.870434200
58.918913300,5.870253700
58.919130300,5.870110300
58.919234200,5.870040800
58.919423200,5.869890500
58.919504300,5.869809000
58.919640000,5.869649300
58.919693500,5.869576000
58.919770000,5.869450200
58.919815300,5.869342700
58.919832700,5.869300500
58.919847300,5.869259500
58.919846700,5.869257300
58.919846000,5.869257300
58.919844700,5.869256800
58.919843000,5.869256300
58.919843000,5.869256300
58.919842000,5.869255800
58.919840800,5.869250700
58.919851500,5.869205500
58.919862200,5.869157300
58.919890000,5.869018800
58.919905500,5.868943800
58.919945700,5.868754500
58.919968300,5.868636000
58.920003700,5.868383800
58.920022500,5.868077700
58.920023500,5.867898700
58.920008000,5.867517800
58.919996000,5.867316200
58.919971200,5.866894800
58.919959800,5.866681700
58.919945800,5.866245300
58.919965800,5.865793000
58.919992000,5.865564700
58.920062700,5.865103500
58.920143000,5.864627700
58.920180500,5.864386300
58.920214200,5.864144500
58.920271300,5.863660500
58.920316500,5.863179700
58.920338300,5.862943300
58.920382300,5.862484700
58.920402300,5.862264800
58.920420700,5.862059500
58.920464800,5.861551800
58.920479800,5.861425500
58.920523300,5.861242800
58.920545300,5.861187700
58.920567800,5.861107200
58.920570700,5.861064300
58.920573000,5.861022700
58.920583700,5.860923700
58.920585000,5.860915300
58.920585000,5.860915500
58.920586000,5.860916200
58.920587000,5.860916000
58.920588200,5.860915500
58.920588300,5.860915500
58.920588200,5.860910200
58.920588700,5.860909300
58.920590000,5.860908700
58.920590200,5.860907700
58.920589000,5.860906800
58.920589700,5.860908000
58.920590700,5.860909200
58.920591000,5.860908800
58.920589500,5.860908000
58.920589200,5.860908300
58.920587200,5.860920800
58.920587200,5.860926300
58.920585500,5.860922700
58.920587200,5.860922700
58.920587500,5.860921300
58.920588200,5.860913800
58.920588700,5.860913500
58.920589800,5.860912700
58.920590300,5.860908700
58.920591300,5.860910500
58.920592000,5.860911700
58.920591800,5.860906700
58.920593300,5.860817000
58.920593300,5.860817000
58.920599700,5.860641800
58.920597300,5.860558300
58.920577800,5.860378800
58.920565800,5.860283000
58.920559700,5.860175500
58.920550500,5.859905200
58.920518300,5.859578700
58.920492300,5.859410700
58.920455700,5.859241800
58.920357300,5.858897700
58.920225700,5.858578800
58.920081200,5.858291500
58.919942700,5.858011800
58.919942700,5.858011800
58.919782200,5.857564300
58.919739300,5.857413200
58.919739300,5.857413200
58.919650000,5.856795800
58.919643200,5.856646200
58.919632300,5.856334700
58.919627700,5.856161800
58.919622500,5.855981000
58.919611300,5.855614300
58.919600000,5.855235800
58.919593500,5.855046000
58.919582700,5.854676500
58.919578800,5.854496300
58.919574500,5.854154000
58.919563800,5.853833800
58.919558500,5.853684500
58.919546500,5.853413000
58.919540000,5.853283300
58.919533500,5.853039800
58.919534200,5.852929700
58.919541500,5.852750200
58.919545000,5.852688200
58.919548300,5.852614700
58.919539500,5.852541500
58.919492800,5.852476000
58.919453800,5.852463000
58.919363300,5.852461200
58.919320500,5.852466300
58.919276500,5.852468800
58.919225800,5.852467200
58.919031000,5.852462700
58.918898000,5.852462700
58.918825500,5.852458200
58.918659000,5.852452300
58.918565500,5.852449700
58.918361500,5.852446200
58.918165200,5.852440800
58.918074800,5.852438800
58.917912500,5.852422300
58.917912500,5.852422300
58.917726200,5.852378200
58.917643700,5.852371700
58.917621500,5.852380700
58.917609500,5.852379200
58.917609000,5.852378000
58.917608300,5.852377800
58.917608000,5.852378800
58.917607300,5.852380000
58.917607500,5.852379500
58.917607300,5.852378700
58.917607200,5.852379000
58.917602500,5.852380000
58.917575200,5.852385700
58.917519800,5.852406000
58.917519800,5.852406000
