Size,Latitude,Longitude,Destination
3,59.0974481421106,5.7074632102587035,Stavanger Via Randaberg
3,58.9949127,5.650805,Rennesoy Via Randaberg
3,58.9052894,5.6985115,Stavanger Via Sus
3,58.9034738,5.7148583,Godeset Via Sus
3,58.8508558,5.734811,Sandnes Via Stavanger-Smeaheia
3,58.9374417,5.7432953,Sandnes Via Stavanger-Smeaheia
3,58.8219777,5.7164832,Sandnes Via Sandved
3,58.961704,5.6126987,Sandnes Via Stavanger-Smeaheia
3,58.994615,5.7261926,Hundvaag Vest/Ost
3,58.894412,5.7026192,Sundelia Via Stavanger
3,58.8563098,5.7323447,Sandnes Via Varatun
3,58.939602,5.6881648,Stavanger Via Uis
3,58.9531561,5.6710685,Risavika Via Varatun-Stavanger
3,58.9385905,5.5741702,Risavika Via Smeaheia-Stavanger
3,58.9692845,5.7059855,Stokka
3,58.9346567,5.7409587,Forus Via Stavanger
3,58.9668598,5.7333988,Godeset Via Sus
3,58.9051762,5.6978285,Viste Hageby Via Stavanger
3,58.9404193218708,5.745723548628743,Forus Via Stavanger
3,58.9787523,5.6155617,Viste Hageby Via Stavanger
3,58.8514326,5.7367986,Stavanger Via Uis-Sus
3,58.9337808,5.740292,Risavika Via Varatun-Stavanger
3,58.9683673,5.5968127,Forus Via Stavanger
3,59.123935,5.73646,Rennesoy
3,59.09319288318401,5.706043808782307,Rennesoy
3,58.9614012,5.7156165,Stavanger Via Uis
3,58.8993905,5.7026865,Sandnes Via Sus-Uis
3,58.8652437,5.7593087,Aasveien Via Sandvika
3,58.9907823,5.6749523,Stavanger
3,58.9780184,5.7014805,Stavanger
3,58.9766965,5.746067,Hundvaag Ost/Vest
3,58.9959874,5.6574715,Stavanger
3,58.9644679,5.7346348,Sundelia Via Stavanger
3,58.8335905,5.7297418,Ganddal Via Sus
3,58.9338,5.7029685,Stavanger Via Uis
3,58.9545753,5.6937753,Sundelia Via Stavanger
3,58.8651942,5.7363198,Sandnes Via Varatun
3,58.951582,5.7253715,Sola Via Sus
3,58.9778724,5.7027259,Stavanger Via Goa
3,58.9226241,5.7238756,Stavanger Via Sus
3,58.9348717,5.5925598,Tananger
3,59.0023092,5.7195782,Stavanger
3,58.9954022,5.6134697,Randaberg Via Uis
3,58.9819022,5.6907042,Vardenes
3,58.9666803,5.7345865,Stavanger Via Sus
3,58.9647347,5.7344832,Stavanger Via Sus
3,58.9609943,5.7544052,Hundvaag
3,58.9418335,5.6823525,Sandnes Via Uis
3,58.9549628,5.73809,Jaattaavaagen Via Sus
3,58.9332633,5.7030163,Stavanger Via Uis-Sus
3,58.9573433,5.7402387,Stavanger Via Uis-Sus
3,58.965175,5.73452,Stavanger Via Sus
3,58.9673487,5.7317343,Stavanger
3,58.9669535,5.7333642,Sandnes Via Uis
3,58.8768695,5.7251417,Stokka Via Uis
